source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-24T17:37:30+00:00,2643743,London,GB,2026-06-25,51.5,-0.25,Europe/London,31.2,22.1,27.0,0.0,0.0,0.0,20.2
forecast,2026-06-24T17:37:30+00:00,2643743,London,GB,2026-06-26,51.5,-0.25,Europe/London,36.9,25.3,29.3,0.0,0.0,0.0,17.0
forecast,2026-06-24T17:37:30+00:00,2643743,London,GB,2026-06-27,51.5,-0.25,Europe/London,30.1,22.1,26.3,10.0,10.0,0.0,13.3
forecast,2026-06-24T17:37:30+00:00,2643743,London,GB,2026-06-28,51.5,-0.25,Europe/London,25.6,17.7,22.3,0.8,0.8,0.0,21.2
forecast,2026-06-24T17:37:30+00:00,2643743,London,GB,2026-06-29,51.5,-0.25,Europe/London,23.7,14.9,18.9,0.0,0.0,0.0,17.6
forecast,2026-06-24T17:37:30+00:00,2643743,London,GB,2026-06-30,51.5,-0.25,Europe/London,23.0,17.2,20.5,0.0,0.0,0.0,13.7
forecast,2026-06-24T17:37:30+00:00,3169070,Rome,IT,2026-06-24,41.875,12.5,Europe/Rome,35.6,22.8,28.8,0.0,0.0,0.0,7.2
forecast,2026-06-24T17:37:30+00:00,3169070,Rome,IT,2026-06-25,41.875,12.5,Europe/Rome,35.0,23.8,29.0,0.0,0.0,0.0,12.7
forecast,2026-06-24T17:37:30+00:00,3169070,Rome,IT,2026-06-26,41.875,12.5,Europe/Rome,35.2,22.7,28.7,0.0,0.0,0.0,14.4
forecast,2026-06-24T17:37:30+00:00,3169070,Rome,IT,2026-06-27,41.875,12.5,Europe/Rome,36.1,22.8,29.2,0.0,0.0,0.0,13.9
forecast,2026-06-24T17:37:30+00:00,3169070,Rome,IT,2026-06-28,41.875,12.5,Europe/Rome,36.9,23.6,29.6,0.0,0.0,0.0,15.4
forecast,2026-06-24T17:37:30+00:00,3169070,Rome,IT,2026-06-29,41.875,12.5,Europe/Rome,39.0,23.6,30.4,0.0,0.0,0.0,18.3
forecast,2026-06-24T17:37:30+00:00,3169070,Rome,IT,2026-06-30,41.875,12.5,Europe/Rome,36.1,22.1,29.3,0.0,0.0,0.0,8.9
